截止日,阅读,点赞,收藏,粉丝数,涨粉数,女粉比,小于18,19到24,25到30,30以上,一线,二三线,四五线,海外
1/31/2021,4389,561,295,387,344,97,40,33,22,5,36,36,23,3
2/7/2021,11823,1492,707,1180,796,95,42,37,16,5,33,39,23,2
2/14/2021,21433,1916,938,1909,735,95,40,35,18,7,34,39,22,2
2/21/2021,16170,2176,1226,2978,1080,96,39,35,19,8,34,37,21,4
2/28/2021,11304,1270,711,3537,579,96,39,34,18,8,34,37,22,4
3/7/2021,9207,1127,659,4133,605,96,37,36,19,9,34,37,21,4
3/14/2021,9139,1024,593,4710,589,96,35,37,19,9,36,36,21,4
3/21/2021,6937,596,325,5008,314,96,34,38,19,9,36,36,20,4
3/28/2021,4198,316,160,5134,126,96,34,38,19,9,36,36,20,4
4/4/2021,6644,492,327,5349,215,97,33,39,19,9,37,35,19,4
4/11/2021,10997,899,525,5785,452,96,32,40,19,10,37,35,19,4
4/19/2021,9189,562,321,6012,239,96,31,40,19,10,37,36,19,4
4/25/2021,14003,1929,835,6509,513,96,32,40,19,10,37,36,20,4
5/02/2021,16593,2497,846,6993,493,97,33,39,18,10,37,37,20,4
5/09/2021,18797,2076,1141,7827,849,97,31,40,18,10,37,36,20,4
5/16/2021,14307,1508,856,8447,645,97,31,40,19,12,37,36,21,4
5/23/2021,17291,1930,998,9241,815,96,30,40,18,12,36,36,20,4
5/30/2021,44979,5248,1799,11104,1863,96,34,37,17,11,35,36,22,4
6/06/2021,13370,978,475,11607,503,96,35,37,17,11,35,36,21,4
6/13/2021,11619,2457,801,12403,806,96,35,36,17,12,35,36,21,4
6/20/2021,15466,1191,568,13651,1248,96,35,36,17,12,35,35,21,4
6/27/2021,23439,2402,1120,14822,1271,96,35,36,17,12,35,36,21,4
7/4/2021,23029,1917,1197,15978,1139,96,36,35,16,12,35,36,21,4
7/11/2021,57579,5997,2159,18055,2177,96,38,34,15,12,34,37,22,4
7/18/2021,15299,1330,907,18648,644,96,39,34,15,12,34,37,23,4
7/25/2021,16408,1289,758,19143,609,96,39,34,15,12,34,37,23,4
8/1/2021,19112,1564,992,19923,880,96,39,33,15,12,33,36,24,4
8/8/2021,19805,1538,1030,20848,825,96,39,33,15,12,32,38,24,4
8/15/2021,19401,1668,966,21421,873,96,40,33,15,12,32,37,24,4
8/22/2021,15734,1053,630,21921,552,96,40,33,15,12,32,37,24,4
8/29/2021,15648,1091,572,22298,477,96,40,33,15,12,32,37,24,4
9/5/2021,14267,1231,499,22624,336,96,40,33,15,12,32,37,24,4
9/12/2021,21021,2334,927,23359,775,96,40,32,15,12,32,38,24,4
9/19/2021,20271,2166,910,24001,661,96,40,32,15,12,32,38,24,4
8/21/2022,19832,1518,921,29727,211,97,40,29,15,15,31,38,24,3
